"ST_CASE","YEAR","MONTH","DAY_WEEK","HOUR","ST_CO_FIPS","CITY","LATITUDE","LONGITUD","VE_TOTAL","PERSONS","PERMVIT","PERNOTMVIT","FATALS","FUNC_SYS","TYP_INT","REL_ROAD","MAN_COLL","LGT_COND","WEATHER"
"360266",2015,"May","Fri",12,"36001","2464",42.68019444,-73.84060833,1,3,"3","0",1,"Local road","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360267",2015,"Jan","Thu",14,"36001","1290",42.70018611,-73.74209444,2,2,"2","0",1,"Local road","3-way intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360268",2015,"May","Fri",21,"36061","4170",40.76081667,-73.99830278,2,3,"3","1",1,"Local road","4-way intersection","On road","Angled collision","Dark","Clear"
"360269",2015,"May","Wed",15,"36061","4170",40.80456667,-73.96268611,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360270",2015,"May","Sun",22,"36085","4170",40.54638889,-74.14135833,3,3,"3","0",1,"Local road","4-way intersection","On road","Angled collision","Dark","Clear"
"360271",2015,"May","Thu",11,"36047","4170",40.59350833,-73.99678333,1,2,"2","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360272",2015,"May","Fri",20,"36047","4170",40.64531944,-73.90203333,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360273",2015,"Apr","Sat",4,"36001","1290",99.9999,999.9999,1,2,"2","0",2,"Interstate","Not intersection","Other location","Non-vehicle collision","Dark","Clear"
"360274",2015,"May","Sat",16,"36059","3215",40.72493611,-73.52222222,1,1,"1","1",1,"Collector","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360275",2015,"May","Sun",5,"36061","4170",40.79776389,-73.92914167,1,3,"3","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dawn or dusk","Clear"
"360276",2015,"May","Mon",5,"36119","6825",41.228325,-73.80743889,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dawn or dusk","Clear"
"360277",2015,"May","Sat",8,"36039","0970",42.25747222,-73.88171944,2,5,"5","0",1,"Local road","Not intersection","On road","Front collision","Daylight","Clear"
"360278",2015,"May","Sat",17,"36029","0750",42.88846944,-78.88818333,2,2,"2","0",1,"Interstate","Not intersection","On road","Rear or side collision","Daylight","Foggy or cloudy"
"360279",2015,"May","Wed",6,"36025","5700",42.30874722,-75.37013333,1,4,"4","0",1,"Interstate","Not intersection","Beside road","Non-vehicle collision","Dawn or dusk","Foggy or cloudy"
"360280",2015,"May","Mon",1,"36047","4170",40.65229722,-73.86629444,1,3,"3","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360281",2015,"May","Sat",20,"36103","5210",40.90908889,-72.68528611,1,1,"1","0",1,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360282",2015,"May","Mon",16,"36061","4170",40.67454444,-73.78936389,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360283",2015,"May","Sun",10,"36059","2600",40.63575833,-73.65427778,1,2,"2","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360284",2015,"May","Sat",2,"36087","4063",41.16938889,-73.97786944,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360285",2015,"May","Tue",0,"36059","5273",40.68289444,-73.59192778,1,1,"1","1",1,"Collector","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360286",2015,"May","Tue",4,"36085","4170",40.60405278,-74.17267222,2,2,"2","0",1,"Local road","Not intersection","On road","Front collision","Dark","Clear"
"360287",2015,"May","Tue",17,"36067","4310",43.12955278,-76.13365278,2,2,"2","0",1,"Local road","3-way intersection","On road","Front collision","Daylight","Clear"
"360288",2015,"May","Thu",14,"36017","4590",42.4255,-75.63196389,1,1,"1","0",1,"Main arterial","3-way intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360289",2015,"May","Tue",7,"36081","4170",40.6663,-73.810575,3,11,"11","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360290",2015,"Apr","Thu",7,"36077","5170",42.86943611,-75.03514722,1,2,"2","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360291",2015,"May","Tue",4,"36047","4170",40.67831667,-73.91125278,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360292",2015,"May","Sun",1,"36029","0750",42.90433611,-78.83443056,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360293",2015,"May","Sat",17,"36043","2992",42.91393056,-74.93150278,2,4,"4","0",2,"Minor arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360294",2015,"May","Thu",2,"36077","2047",99.9999,999.9999,1,2,"2","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360295",2015,"May","Sun",7,"36109","4072",42.38813611,-76.55376111,1,1,"1","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360296",2015,"May","Tue",22,"36115","2360",43.41498889,-73.27625833,2,2,"2","0",1,"Minor arterial","Not intersection","On road","Front collision","Dark","Clear"
"360297",2015,"May","Wed",23,"36061","4170",40.80776944,-73.93756111,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360298",2015,"May","Thu",8,"36029","1275",42.62763889,-78.58066944,2,3,"3","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360299",2015,"May","Tue",5,"36055","2898",43.19625833,-77.57918333,2,4,"4","0",1,"Main arterial","Not intersection","On road","Angled collision","Dawn or dusk","Foggy or cloudy"
"360300",2015,"May","Fri",99,"36029","0750",42.89571944,-78.823425,1,1,"1","1",1,"Collector","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360301",2015,"May","Sat",23,"36059","6550",40.76304167,-73.55964722,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360302",2015,"Mar","Mon",7,"36009","6648",42.44844444,-78.6997,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Dawn or dusk","Foggy or cloudy"
"360303",2015,"May","Fri",1,"36059","2600",99.9999,999.9999,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360304",2015,"May","Sat",21,"36005","4170",40.82535,-73.91763611,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360305",2015,"Jan","Tue",15,"36105","6800",41.52698889,-74.54515,2,6,"6","0",1,"Main arterial","Not intersection","On road","Rear or side collision","Daylight","Clear"
"360306",2015,"Feb","Thu",6,"36119","6825",41.28363056,-73.81953611,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360307",2015,"May","Sat",11,"36029","0750",99.9999,999.9999,1,1,"1","3",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360308",2015,"May","Tue",15,"36021","3313",42.17731389,-73.85380556,2,2,"2","0",1,"Minor arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360309",2015,"May","Sun",10,"36119","2900",41.04029444,-73.83807222,2,9,"9","0",1,"Main arterial","Not intersection","On road","Rear or side collision","Daylight","Foggy or cloudy"
"360310",2015,"Jun","Mon",15,"36115","6660",43.53777222,-73.40957222,2,6,"6","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Precipitation"
"360311",2015,"May","Fri",21,"36029","0750",42.86936389,-78.83124444,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360312",2015,"Jun","Wed",12,"36123","5952",42.52373056,-76.91959444,2,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360313",2015,"Jun","Tue",3,"36047","4170",40.67170833,-73.95198333,11,2,"2","0",1,"Local road","Not intersection","Other location","Non-vehicle collision","Dark","Foggy or cloudy"
"360314",2015,"Jun","Wed",21,"36047","4170",40.64199722,-73.89881389,2,3,"3","0",1,"Main arterial","4-way intersection","On road","Angled collision","Dark","Clear"
"360315",2015,"Jun","Thu",9,"36081","4170",40.71496667,-73.81238889,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360316",2015,"Jun","Thu",17,"36005","4170",40.85266667,-73.827675,2,1,"1","3",1,"Local road","Not intersection","Other location","Non-vehicle collision","Daylight","Foggy or cloudy"
"360317",2015,"Jun","Sat",19,"36095","0899",42.740725,-74.44467778,1,1,"1","0",1,"Collector","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360318",2015,"May","Mon",16,"36081","4170",40.76083333,-73.92966667,1,3,"3","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360319",2015,"May","Tue",5,"36025","2530",41.99140556,-75.12848889,1,1,"1","0",1,"Main arterial","3-way intersection","Beside road","Non-vehicle collision","Dawn or dusk","Foggy or cloudy"
"360320",2015,"Jun","Sat",19,"36069","1961",43.00353056,-77.35350556,1,1,"1","0",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360321",2015,"Jun","Sat",19,"36055","2606",43.07436944,-77.62545,2,3,"3","0",1,"Local road","Not intersection","On road","Angled collision","Daylight","Clear"
"360322",2015,"Apr","Mon",13,"36059","4090",40.7985,-73.66324167,2,2,"2","0",1,"Main arterial","Other intersection type","On road","Rear or side collision","Daylight","Foggy or cloudy"
"360325",2015,"Jun","Mon",0,"36085","4170",40.60631944,-74.08293889,1,1,"1","1",1,"Interstate","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360326",2015,"Jun","Wed",17,"36099","1976",42.82086667,-76.88038333,2,2,"2","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360327",2015,"Jun","Thu",7,"36013","5991",42.09513333,-79.36992222,2,3,"3","0",1,"Minor arterial","3-way intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360328",2015,"Jun","Fri",11,"36119","3940",40.92386111,-73.81498333,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360329",2015,"Jun","Fri",23,"36059","4844",40.78903611,-73.49541111,2,4,"4","0",1,"Local road","3-way intersection","On road","Front collision","Dark","Clear"
"360330",2015,"Jun","Thu",15,"36115","2070",43.40849167,-73.55785556,2,2,"2","0",1,"Main arterial","3-way intersection","On road","Front collision","Daylight","Clear"
"360331",2015,"Jun","Sat",16,"36103","1645",40.72892778,-73.41043056,1,2,"2","0",2,"Minor arterial","Not intersection","Other location","Non-vehicle collision","Daylight","Clear"
"360332",2015,"Jun","Sat",17,"36059","1760",40.75835,-73.63485278,1,1,"1","0",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360333",2015,"Jun","Mon",21,"36065","3198",99.9999,999.9999,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360334",2015,"Jun","Sat",19,"36069","2319",42.76758056,-77.20783889,2,2,"2","0",1,"Minor arterial","4-way intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360335",2015,"Jun","Sat",14,"36091","5470",43.07023333,-73.80241111,1,1,"1","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360336",2015,"Jun","Sun",4,"36081","4170",40.68308056,-73.72585,1,1,"1","0",1,"Collector","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360337",2015,"May","Wed",19,"36057","0820",42.91532778,-74.60703056,2,3,"3","0",1,"Interstate","Not intersection","On road","Front collision","Daylight","Clear"
"360338",2015,"Apr","Sat",20,"36103","0360",40.76195833,-73.32871389,1,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360339",2015,"May","Fri",22,"36103","2758",40.81825,-73.06257222,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360340",2015,"May","Sat",17,"36103","0705",40.911875,-73.038225,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360341",2015,"May","Sat",19,"36103","0360",40.69827778,-73.39036667,2,2,"2","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360342",2015,"May","Fri",3,"36103","0360",40.71729167,-73.40027778,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360343",2015,"May","Mon",14,"36103","1670",40.72054444,-73.19163333,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360344",2015,"May","Mon",7,"36103","5769",40.8739,-73.27914167,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360345",2015,"May","Tue",7,"36103","2840",40.79137778,-73.30067222,2,2,"2","0",1,"Minor arterial","Not intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360346",2015,"May","Tue",20,"36103","2920",40.75138333,-73.26306111,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360347",2015,"May","Fri",17,"36103","2860",40.82474167,-73.41225833,2,5,"5","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360348",2015,"May","Thu",16,"36103","0705",40.86309444,-72.94185556,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360349",2015,"Apr","Wed",15,"36079","4682",41.52087222,-73.59125833,2,3,"3","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360350",2015,"May","Thu",20,"36007","4935",42.24661944,-75.81431944,2,4,"4","0",1,"Minor arterial","Not intersection","On road","Front collision","Dark","Foggy or cloudy"
"360351",2015,"Apr","Tue",10,"36103","0705",40.85835556,-73.08605278,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360352",2015,"Mar","Tue",20,"36103","2920",40.758975,-73.20971667,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Front collision","Dark","Clear"
"360353",2015,"May","Wed",13,"36059","4600",99.9999,999.9999,3,4,"4","0",1,"Main arterial","Not intersection","On road","Angled collision","Daylight","Clear"
"360354",2015,"May","Wed",15,"36109","4072",42.39108889,-76.561925,4,5,"5","0",2,"Main arterial","Not intersection","On road","Rear or side collision","Daylight","Clear"
"360355",2015,"Jun","Mon",5,"36055","1160",43.11090833,-77.78768056,1,1,"1","0",1,"Local road","Not intersection","On road","Non-vehicle collision","Dawn or dusk","Clear"
"360356",2015,"Jun","Sun",0,"36091","3712",43.12343611,-74.08900833,2,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360357",2015,"May","Fri",5,"36103","5255",40.94778333,-72.919775,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360358",2015,"Jun","Tue",22,"36061","4170",40.86399444,-73.91783056,2,3,"3","2",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360359",2015,"May","Tue",18,"36119","3920",41.20075278,-73.70945,2,4,"4","0",1,"Local road","Not intersection","On road","Front collision","Daylight","Clear"
"360360",2015,"Jun","Wed",6,"36021","2265",42.16646389,-73.86306389,1,1,"1","0",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360361",2015,"Jun","Thu",23,"36059","0533",40.72670278,-73.48951944,1,1,"1","1",1,"Collector","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360362",2015,"Jun","Wed",23,"36029","6642",99.9999,999.9999,1,1,"1","0",1,"Interstate","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360363",2015,"Jun","Fri",21,"36113","3100",43.48257222,-73.75477222,2,3,"3","0",1,"Interstate","Not intersection","On road","Front collision","Dark","Clear"
"360364",2015,"Jun","Fri",17,"36047","4170",40.68356667,-73.95395,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360365",2015,"Jun","Sun",9,"36089","1292",44.56337778,-74.88170278,1,2,"2","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360366",2015,"Jun","Mon",10,"36047","4170",40.65011389,-73.96063611,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360367",2015,"May","Sun",18,"36039","0970",42.252225,-73.90660278,2,4,"4","0",1,"Minor arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360368",2015,"May","Sun",20,"36025","2530",42.05655,-75.25385,1,1,"1","0",1,"Local road","Not intersection","Other location","Non-vehicle collision","Dawn or dusk","Clear"
"360369",2015,"Mar","Wed",13,"36119","4320",41.106,-73.86028333,1,3,"3","0",1,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360370",2015,"Jun","Mon",11,"36055","5230",43.15767222,-77.65951667,2,2,"2","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360371",2015,"Apr","Tue",11,"36119","4120",40.91681389,-73.785275,1,1,"1","1",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360372",2015,"Jun","Mon",22,"36055","1160",43.115625,-77.72891389,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360373",2015,"Jun","Tue",11,"36047","4170",40.66993333,-73.93937222,2,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360374",2015,"Jun","Wed",13,"36085","4170",40.63774167,-74.07602222,2,2,"2","1",1,"Local road","4-way intersection","On road","Front collision","Daylight","Clear"
"360375",2015,"May","Fri",16,"36087","5077",41.11560278,-74.152625,1,1,"1","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360376",2015,"Apr","Mon",17,"36057","0170",42.95987222,-74.18593889,2,5,"5","0",1,"Minor arterial","4-way intersection","On road","Front collision","Daylight","Clear"
"360377",2015,"Jun","Sat",22,"36005","4170",40.82401667,-73.87487222,1,3,"3","1",1,"Interstate","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360378",2015,"Jun","Sun",5,"36089","3900",44.53399444,-75.66263611,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360379",2015,"Jun","Wed",8,"36013","4650",42.07494167,-79.47905556,2,3,"3","0",1,"Collector","Not intersection","On road","Angled collision","Daylight","Clear"
"360380",2015,"Jun","Sat",3,"36061","4170",40.760225,-73.96193333,2,4,"4","0",1,"Minor arterial","Not intersection","On road","Front collision","Dawn or dusk","Clear"
"360381",2015,"Jun","Sat",14,"36115","5420",43.19524167,-73.32440278,2,3,"3","0",1,"Minor arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360382",2015,"Jun","Thu",9,"36111","3060",42.01294722,-73.99702222,2,2,"2","0",1,"Local road","Not intersection","On road","Front collision","Daylight","Clear"
"360383",2015,"May","Sun",3,"36005","4170",40.89970556,-73.89710278,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360384",2015,"Jun","Sat",14,"36059","0378",40.65631667,-73.6068,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Precipitation"
"360385",2015,"Jun","Wed",9,"36103","5810",40.843425,-72.645475,1,2,"2","0",1,"Local road","4-way intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360386",2015,"Jun","Wed",19,"36067","5740",42.94402222,-76.44818333,2,3,"3","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360387",2015,"Jun","Sat",0,"36081","4170",40.78121944,-73.91793889,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360388",2015,"Jun","Sat",1,"36015","1850",42.07395556,-76.80218611,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360389",2015,"Jun","Sun",4,"36005","4170",40.87716944,-73.90905556,4,11,"9","2",1,"Local road","4-way intersection","Other location","Non-vehicle collision","Dark","Precipitation"
"360390",2015,"Jun","Mon",17,"36047","4170",40.66416389,-73.94484167,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360391",2015,"Jun","Mon",4,"36061","4170",40.83287222,-73.94202222,3,3,"3","0",1,"Local road","4-way intersection","On road","Angled collision","Dark","Clear"
"360392",2015,"May","Fri",3,"36067","3082",42.91124444,-76.11740556,2,2,"2","0",1,"Interstate","Not intersection","On road","Front collision","Dark","Clear"
"360393",2015,"Jun","Sun",20,"36081","4170",40.69341667,-73.75604167,2,2,"2","0",1,"Local road","4-way intersection","On road","Angled collision","Dark","Clear"
"360394",2015,"Jun","Mon",18,"36063","3220",43.14256667,-79.03917778,3,5,"5","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360395",2015,"Jul","Wed",10,"36047","4170",40.65419167,-73.88707222,2,5,"4","3",1,"Local road","4-way intersection","Other location","Non-vehicle collision","Daylight","Clear"
"360396",2015,"Jul","Wed",18,"36081","4170",40.744825,-73.76623889,2,6,"6","0",3,"Local road","Not intersection","On road","Angled collision","Daylight","Clear"
"360397",2015,"Jul","Wed",23,"36029","3140",42.94855278,-78.67706389,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360398",2015,"Jun","Tue",7,"36063","0400",43.34770278,-78.57513056,2,3,"3","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Precipitation"
"360399",2015,"Jul","Thu",22,"36047","4170",40.69629167,-73.93405556,1,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360400",2015,"Jul","Thu",19,"36045","0090",44.355125,-75.80663611,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360401",2015,"Jun","Tue",23,"36119","6820",99.9999,999.9999,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360402",2015,"Jul","Fri",17,"36015","1850",42.07721389,-76.79106389,1,1,"1","0",1,"Local road","3-way intersection","Other location","Non-vehicle collision","Daylight","Clear"
"360403",2015,"Jul","Mon",7,"36055","5230",43.19189167,-77.60013889,4,5,"5","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360404",2015,"May","Mon",2,"36087","5760",41.14913611,-74.19970556,2,2,"2","0",1,"Local road","3-way intersection","On road","Front collision","Dark","Clear"
"360405",2015,"Jul","Mon",9,"36005","4170",40.87230556,-73.82456389,1,1,"1","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360406",2015,"Jul","Tue",15,"36029","5892",42.77273889,-78.55245833,2,4,"4","0",1,"Local road","Not intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360407",2015,"Jul","Wed",11,"36121","5994",42.71552778,-78.41780556,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360408",2015,"Jul","Wed",0,"36005","4170",40.89039722,-73.88651111,1,1,"1","0",1,"Interstate","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360409",2015,"Jul","Wed",16,"36103","2920",40.80901111,-73.19757778,2,4,"4","0",1,"Interstate","Not intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360410",2015,"Jul","Mon",10,"36085","4170",99.9999,999.9999,1,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360411",2015,"Jul","Wed",2,"36105","2960",41.7806,-74.93093611,1,1,"1","1",1,"Collector","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360412",2015,"Jul","Thu",20,"36047","4170",40.66631389,-73.91569167,1,1,"1","1",1,"Collector","4-way intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360413",2015,"Jul","Thu",18,"36021","1173",42.25426111,-73.75471944,1,1,"1","0",1,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360414",2015,"Jul","Sun",18,"36081","4170",40.66791389,-73.77581389,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360415",2015,"Jul","Sat",18,"36093","5550",42.81375,-73.94460556,1,2,"2","0",2,"Collector","4-way intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360416",2015,"Jul","Sat",14,"36059","6550",40.74761667,-73.58761389,1,2,"2","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360417",2015,"Jul","Mon",7,"36047","4170",40.6831,-73.97908889,3,6,"6","1",1,"Main arterial","4-way intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360418",2015,"Jun","Sat",2,"36029","0750",42.89508056,-78.80629444,1,1,"1","2",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360419",2015,"May","Sat",23,"36117","3430",43.03885556,-77.30591944,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360420",2015,"Apr","Sat",1,"36103","0660",40.71970833,-73.26672222,1,2,"2","0",1,"Collector","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360421",2015,"May","Sun",0,"36103","2920",40.73791389,-73.28681667,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360422",2015,"Jun","Tue",6,"36119","6670",41.05336389,-73.781825,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360423",2015,"Jun","Sun",12,"36103","2920",40.76968889,-73.05331944,1,1,"1","0",1,"Collector","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360424",2015,"Jul","Fri",12,"36061","4170",40.71605278,-73.99557222,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360425",2015,"Jul","Mon",16,"36011","0310",42.93806111,-76.55593056,2,4,"4","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360426",2015,"Jul","Sat",11,"36055","2710",43.33956667,-77.80994167,2,3,"3","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360427",2015,"Jul","Fri",14,"36029","2485",42.728725,-78.88830833,3,6,"6","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360428",2015,"Jul","Sat",2,"36081","4170",40.66665278,-73.76472222,2,2,"2","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360429",2015,"Jul","Mon",15,"36027","5150",41.92818333,-73.91064444,1,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360430",2015,"Jul","Sat",23,"36059","2160",40.65759444,-73.57192778,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360431",2015,"Jul","Sun",1,"36001","0050",42.66165278,-73.76084444,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Angled collision","Dark","Clear"
"360432",2015,"Jul","Sat",10,"36059","2160",40.65798056,-73.58405833,2,1,"1","0",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
