"ST_CASE","YEAR","MONTH","DAY_WEEK","HOUR","ST_CO_FIPS","CITY","LATITUDE","LONGITUD","VE_TOTAL","PERSONS","PERMVIT","PERNOTMVIT","FATALS","FUNC_SYS","TYP_INT","REL_ROAD","MAN_COLL","LGT_COND","WEATHER"
"360876",2015,"Nov","Wed",19,"36087","5930",41.13368333,-74.05967222,2,2,"2","0",1,"Collector","Not intersection","On road","Front collision","Dark","Clear"
"360877",2015,"Nov","Mon",11,"36061","4170",40.71355556,-73.98088056,1,1,"1","1",1,"Minor arterial","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360878",2015,"Nov","Tue",21,"36009","3203",42.32973333,-78.95743611,1,1,"1","0",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360879",2015,"Nov","Wed",21,"36081","4170",40.73569167,-73.93678889,1,2,"2","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360880",2015,"Nov","Wed",16,"36047","4170",40.62422778,-73.95608333,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dawn or dusk","Clear"
"360881",2015,"Nov","Thu",19,"36109","3146",99.9999,999.9999,2,5,"5","0",1,"Main arterial","Not intersection","On road","Angled collision","Dark","Clear"
"360882",2015,"Nov","Thu",6,"36029","5940",42.57557778,-78.72006111,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360883",2015,"Nov","Thu",19,"36047","4170",40.65724167,-73.88950278,7,12,"12","1",1,"Main arterial","Not intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360884",2015,"Nov","Fri",17,"36059","3190",40.60805278,-73.74207222,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360885",2015,"Nov","Mon",13,"36015","6530",99.9999,999.9999,2,2,"2","0",1,"Interstate","Not intersection","On road","Rear or side collision","Daylight","Clear"
"360886",2015,"Nov","Fri",2,"36081","4170",40.7708,-73.91793333,2,3,"3","0",2,"Main arterial","Not intersection","Beside road","Front collision","Dark","Clear"
"360887",2015,"Nov","Sun",1,"36103","2840",40.81618333,-73.42719722,1,4,"4","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360888",2015,"Nov","Sun",9,"36029","1170",43.07791667,-78.61908889,1,5,"5","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360889",2015,"Nov","Sun",17,"36087","3833",41.08002778,-74.04848611,6,11,"11","0",1,"Main arterial","Not intersection","On road","Front collision","Dark","Clear"
"360890",2015,"Dec","Tue",18,"36047","4170",40.58395278,-73.93873611,3,2,"2","0",1,"Minor arterial","3-way intersection","On road","Angled collision","Dark","Precipitation"
"360891",2015,"Sep","Thu",1,"36103","1650",40.97123056,-72.22140278,1,1,"1","0",1,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360892",2015,"Oct","Thu",0,"36067","2951",42.99457222,-76.09891389,1,3,"3","0",2,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360893",2015,"Oct","Tue",13,"36005","4170",40.88003056,-73.82326111,1,2,"2","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360894",2015,"Sep","Fri",17,"36067","1166",43.17558889,-76.11665833,2,5,"5","0",2,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360895",2015,"Dec","Tue",0,"36059","6250",40.68616944,-73.69956389,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360896",2015,"Dec","Thu",21,"36059","3380",40.65836667,-73.66248056,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360897",2015,"Dec","Wed",5,"36061","4170",40.76094444,-73.96706667,1,1,"1","1",1,"Minor arterial","4-way intersection","On road","Non-vehicle collision","Dawn or dusk","Precipitation"
"360898",2015,"Dec","Wed",6,"36081","4170",40.67294167,-73.85735,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360899",2015,"Dec","Thu",11,"36059","6550",40.74759722,-73.58761111,3,4,"4","0",1,"Collector","4-way intersection","On road","Angled collision","Daylight","Clear"
"360900",2015,"Dec","Thu",23,"36047","4170",40.62431111,-74.01958056,1,1,"1","0",1,"Interstate","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360901",2015,"Aug","Wed",15,"36035","2310",43.10112778,-74.31578056,1,2,"2","0",1,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360902",2015,"Sep","Fri",19,"36049","3370",43.81814167,-75.56980278,2,2,"2","0",1,"Main arterial","3-way intersection","On road","Rear or side collision","Dawn or dusk","Clear"
"360903",2015,"Nov","Fri",19,"36029","1512",42.69810833,-78.986825,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360904",2015,"Nov","Wed",18,"36025","3550",42.153475,-74.59730278,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Dark","Clear"
"360905",2015,"Nov","Sat",18,"36087","6237",41.09459444,-73.93674167,1,2,"2","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360906",2015,"Dec","Fri",23,"36087","2700",41.11781389,-74.15583333,1,1,"1","0",1,"Interstate","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360907",2015,"Dec","Sat",6,"36075","2200",43.35751111,-76.26128056,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360908",2015,"Dec","Fri",15,"36103","5810",99.9999,999.9999,3,4,"4","0",2,"Local road","Not intersection","On road","Angled collision","Daylight","Clear"
"360909",2015,"Aug","Thu",23,"36029","0750",42.88385833,-78.88253889,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360910",2015,"Nov","Mon",10,"36047","4170",40.60915278,-73.957425,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360911",2015,"Dec","Sat",14,"36105","1954",41.74531111,-74.69071667,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360912",2015,"Dec","Sat",9,"36027","3760",41.81118056,-73.63276944,2,4,"4","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360913",2015,"Dec","Sun",2,"36013","2180",42.06458889,-79.09162222,1,4,"4","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360914",2015,"Aug","Sun",1,"36103","5810",40.98289167,-72.31958056,1,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360915",2015,"Dec","Fri",22,"36089","3580",44.91945833,-74.80788611,1,1,"1","1",1,"Minor arterial","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360916",2015,"Dec","Sun",22,"36081","4170",40.73544444,-73.91746111,2,2,"2","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360917",2015,"Dec","Sun",3,"36091","1209",42.88626944,-73.7732,1,1,"1","1",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360918",2015,"Dec","Sun",17,"36047","4170",40.68631667,-73.97446944,1,2,"2","3",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360919",2015,"Dec","Sun",5,"36013","1610",42.47904444,-79.32401944,1,2,"2","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360920",2015,"Dec","Mon",6,"36005","4170",40.805925,-73.92535833,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360921",2015,"Dec","Mon",17,"36059","0295",40.58885,-73.72558611,2,3,"3","0",1,"Local road","Not intersection","On road","Front collision","Dark","Clear"
"360922",2015,"Dec","Mon",19,"36117","5790",43.21304444,-76.987475,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360923",2015,"Dec","Tue",22,"36081","4170",40.75678056,-73.87363056,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360924",2015,"Dec","Mon",20,"36081","4170",40.724775,-73.79463889,2,3,"3","0",1,"Main arterial","Not intersection","On road","Front collision","Dark","Clear"
"360925",2015,"Dec","Tue",11,"36067","3500",43.07075278,-75.95040278,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360926",2015,"Dec","Sun",15,"36081","4170",40.75377778,-73.8626,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight",NA
"360927",2015,"Dec","Sun",5,"36011","5588",42.81097222,-76.62652222,1,2,"2","0",1,"Collector","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360928",2015,"Dec","Sun",18,"36001","1290",42.69006944,-73.80149444,1,2,"2","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360929",2015,"Dec","Wed",6,"36001","3680",42.68658889,-73.74107222,1,1,"1","1",1,"Minor arterial","4-way intersection","On road","Non-vehicle collision","Dawn or dusk","Foggy or cloudy"
"360930",2015,"Dec","Thu",17,"36029","1170",43.04387778,-78.69193611,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360931",2015,"Dec","Wed",22,"36029","1844",42.83964167,-78.60607222,4,4,"4","0",1,"Collector","Not intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360932",2015,"Dec","Wed",8,"36007","1510",42.05415833,-75.44143333,2,1,"1","0",1,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360933",2015,"Dec","Sun",16,"36059","3695",40.66365278,-73.54944722,2,4,"4","0",1,"Main arterial","4-way intersection","On road","Angled collision","Dawn or dusk","Foggy or cloudy"
"360934",2015,"Dec","Thu",9,"36039","0290",42.25800556,-73.85818611,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360935",2015,"Dec","Thu",11,"36011","5633",42.95693333,-76.49154722,1,1,"1","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360936",2015,"Dec","Sun",5,"36119","0474",41.25931944,-73.67995278,3,5,"5","0",1,"Interstate","Not intersection","On road","Front collision","Dark","Foggy or cloudy"
"360937",2015,"Dec","Mon",17,"36047","4170",40.58818889,-73.95246667,1,1,"1","1",1,"Minor arterial","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360938",2015,"Nov","Sat",21,"36027","5030",41.65903889,-73.90267222,1,1,"1","1",1,"Main arterial","Not intersection",NA,"Non-vehicle collision","Dark","Clear"
"360939",2015,"Dec","Tue",16,"36117","3430",43.06714444,-77.27775,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360940",2015,"Dec","Wed",4,"36081","4170",40.72284167,-73.82773056,2,2,"2","0",1,"Interstate","Not intersection","On road","Front collision","Dark","Clear"
"360941",2015,"Dec","Tue",9,"36085","4170",40.55655278,-74.12820833,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360942",2015,"Dec","Wed",13,"36081","4170",40.71284444,-73.87806111,1,1,"1","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360943",2015,"Nov","Wed",6,"36029","0750",42.93726667,-78.80361389,2,1,"1","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360944",2015,"Dec","Fri",22,"36117","6760",99.9999,999.9999,1,1,"1","0",1,"Main arterial","3-way intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360945",2015,"Dec","Wed",17,"36075","3700",43.45734444,-76.12723333,2,4,"4","0",1,"Main arterial","Not intersection","On road","Angled collision","Dark","Clear"
"360946",2015,"Dec","Fri",19,"36103","0705",40.78041389,-72.97213889,1,3,"3","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360947",2015,"Oct","Fri",18,"36103","3933",40.95256389,-73.01935,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360948",2015,"Dec","Thu",15,"36029","1117",42.94150556,-78.76649722,3,3,"3","0",1,"Interstate","Not intersection","On road","Rear or side collision","Daylight","Foggy or cloudy"
"360949",2015,"Aug","Tue",19,"36067","1179",43.19776944,-76.19011667,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dawn or dusk","Clear"
"360950",2015,"Oct","Sun",23,"36103","0705",40.91538333,-73.03369444,6,1,"1","0",1,"Main arterial","3-way intersection","Other location","Non-vehicle collision","Dark","Clear"
"360951",2015,"Nov","Tue",13,"36103","1050",40.80954444,-73.19361667,2,2,"2","0",1,"Collector","4-way intersection","On road","Angled collision","Daylight","Clear"
"360952",2015,"Nov","Wed",3,"36103","0705",40.84886667,-72.97966667,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360953",2015,"Nov","Wed",10,"36103","3589",40.80572778,-72.84573611,1,1,"1","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360954",2015,"Oct","Fri",21,"36103","1039",40.87526667,-73.07115278,1,5,"5","0",1,"Minor arterial","4-way intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360955",2015,"Nov","Fri",0,"36103","1050",40.79109167,-73.20006389,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360956",2015,"Nov","Mon",15,"36045","0010",43.74424167,-76.05589722,2,2,"2","0",1,"Collector","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360957",2015,"Nov","Mon",18,"36103","2920",40.77741944,-73.18971667,2,4,"4","0",1,"Local road","Not intersection","On road","Front collision","Dark","Clear"
"360958",2015,"Aug","Wed",5,"36059","4600",40.79070556,-73.5178,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360959",2015,"Aug","Sun",3,"36109","2460",42.564825,-76.26281944,1,4,"4","0",1,"Collector","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360960",2015,"Sep","Wed",10,"36059","1740",40.64078056,-73.65965278,1,2,"2","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360961",2015,"Sep","Thu",13,"36059","4844",40.77358889,-73.50178333,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360962",2015,"Nov","Fri",11,"36019","0546",44.58202222,-73.90964444,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
