"ST_CASE","VEH_NO","MAKE","MODEL","MOD_YEAR","VIN","NUMOCCS","TRAV_SP","DEFORMED","TOWED","DEATHS","SPEEDREL","OWNER","BODY_TYP"
"360227","1","12","481",2001,"1FTSX31F71EC",1,NA,NA,"yes",1,"yes","driver","pickup"
"360228","1","20","422",2005,"1GNFK16Z05J1",1,55,NA,"yes",1,"no","other","utility vehicle"
"360229","1","35","43",2001,"3N1BB51D31L1",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360229","2","59","31",2015,"JTHBW1GGXF20",2,NA,NA,"no",0,"no","other","4-door sedan"
"360229","3","35","43",2007,"3N1AB61E77L6",3,NA,NA,"yes",1,"no","other","4-door sedan"
"360230","1","2","404",2014,"1C4PJMBS5EW1",1,14,NA,"yes",0,"no","driver","utility vehicle"
"360230","2","12","24",2011,"2FMDK4JC4BBB",3,41,"disabling","yes",1,"no","other","other car"
"360231","1","49","40",2014,"4T1BF1FK5EU3",1,38,NA,"yes",0,"yes","other","4-door sedan"
"360232","1","51","881",2003,"4V4NC9GHX3N3",1,NA,NA,"yes",0,"no","other","truck"
"360232","2","2","404",2010,"1J4PR4GK3AC1",1,NA,"disabling","yes",1,"no","other","utility vehicle"
"360233","1","35","47",2008,"1N4AL21EX8N4",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360234","1","35","402",2001,"5N1ED28YX1C5",1,NA,NA,"no",0,"no","other","utility vehicle"
"360235","1","20","32",1995,"1Y1SK526XSZ0",1,NA,"disabling","yes",1,"yes","driver","4-door sedan"
"360236","1","18","23",2007,"1G4HD57277U2",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360237","1","76","706",2001,"JYAVP11EX1A0",1,60,NA,NA,1,"no","driver","motorcycle"
"360238","1","76","705",2005,"JYARJ06E25A0",1,107,NA,"yes",1,"yes","driver","motorcycle"
"360239","1","41","51",2012,"JM1BL1UG4C15",1,40,NA,"yes",0,"no","other","4-door sedan"
"360240","1","76","705",2002,"JYARJ04E62A0",1,NA,NA,"yes",1,"no","other","motorcycle"
"360240","2","6","54",2004,"2C8GM68464R3",1,NA,NA,"yes",0,"no","driver","other car"
"360241","1","85","881",2000,"3BKMHD7X5YF8",1,NA,"disabling","yes",1,"no","other","truck"
"360242","1","49","472",2005,"5TEMU52NX5Z1",3,NA,NA,"no",0,"no","driver","pickup"
"360243","1","2","403",1994,"1J4FY29S6RP4",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360244","1","72","706",2013,"1HD1FCM1XDB6",1,NA,NA,"yes",1,"no","driver","motorcycle"
"360245","1","85","881",2007,"1XKWDB9X57J1",2,NA,NA,"no",0,"no","other","truck"
"360245","2","34","709",1976,"999999999999",1,NA,"disabling","no",1,"no","driver","motorcycle"
"360246","1","86","881",1999,"999999999999",1,NA,NA,"no",0,"no","other","truck"
"360247","1","7","482",2004,"3D7KA28C34G1",1,NA,"disabling","yes",1,"no","other","pickup"
"360247","2","82","881",2006,"1FUJA6CK86LW",2,30,"disabling","yes",0,"no","other","truck"
"360248","1","7","442",2014,"2C4RDGBG7ER4",7,NA,"disabling","yes",3,"no","other","van or bus"
"360248","2","82","881",2006,"1FUJA6CK06LN",1,NA,NA,"yes",0,"no","driver","truck"
"360249","1","14","6",2000,"2MEFM75W9YX6",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360250","1","48","401",2003,"JF1SG63633H7",3,70,"disabling","yes",1,"yes","other","utility vehicle"
"360251","1","98","804",2009,"5KJJAEAV49PA",1,NA,"disabling","yes",1,"no","other","truck"
"360251","2","30","42",2010,"999999999999",4,NA,"disabling","yes",0,"no","driver",NA
"360252","1","37","421",2005,"5FNYF18575B0",2,NA,NA,"yes",0,"no","other","utility vehicle"
"360252","2","37","705",2007,"JH2PF01107K5",1,NA,"disabling","yes",1,"no",NA,"motorcycle"
"360252","3","49","402",2002,"JTEGH20VX200",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360252","4","37","32",2009,"1HGCP36869A0",1,NA,NA,"no",0,"no","driver","4-door sedan"
"360253","1","12","402",2008,"1FMCU49H78KC",4,NA,NA,"yes",0,"no","driver","utility vehicle"
"360254","1","49","40",2012,"4T1BF1FK3CU5",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360255","1","37","32",2007,"1HGCM56887A1",1,NA,NA,"no",0,"no","driver","4-door sedan"
"360255","2","73","705",2004,"JKAKLEA1X4DA",2,NA,NA,"yes",1,"yes",NA,"motorcycle"
"360256","1","23","401",2002,"1GKDT13S3221",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360256","2","53","709",1978,"GS550116861",2,NA,NA,"yes",1,"no","driver","motorcycle"
"360257","1","12","881",2008,"3FRWW65A98V6",2,NA,NA,"yes",0,"no","other","truck"
"360257","2","49","32",2009,"2T1BU40E29C0",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360257","3","37","31",2013,"19XFB2F97DE2",1,0,NA,"no",0,"no","driver","4-door sedan"
"360258","1","52","47",2009,"JA4LT21W69Z0",1,NA,"none","no",0,"no","driver","other car"
"360259","1","37","32",2013,"1HGCR2F89DA2",1,NA,NA,"no",0,"no","other","4-door sedan"
"360260","1","12","401",2009,"1FMEU73E69UA",1,NA,"disabling","yes",1,"no","driver","utility vehicle"
"360260","2","87","881",2015,"1NPXGGGG30D2",1,NA,NA,"yes",0,"no","other","truck"
"360261","1","12","461",2013,"1FTNS2EW0DDA",2,NA,"disabling","yes",1,"no","other","van or bus"
"360261","2","12","870",2014,"1FDFE4FS6EDB",3,NA,"disabling","yes",0,"yes","other","van or bus"
"360262","1","72","706",2001,"1HD1GDV191Y3",2,NA,NA,"yes",2,"yes","driver","motorcycle"
"360263","1","20","421",2010,"999999999999",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360263","2","12","471",2004,"1FTYR15E94PB",2,NA,NA,"yes",1,"no","driver","pickup"
"360264","1","30","40",2014,"3VW4T7AJ5EM2",2,NA,"disabling","yes",2,"yes","driver","4-door sedan"
"360265","1","86","881",2011,"1M2AX13C5BM0",1,NA,NA,"no",1,NA,NA,"truck"
"360266","1","82","881",2002,"1FVABUCS72HK",3,NA,NA,"yes",1,"no","other","truck"
"360267","1","18","7",1995,"1G4AG55M5S65",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360267","2","98","809",2004,"2FZACFCT74AM",1,NA,"disabling","yes",0,"no","other","truck"
"360268","1","23","401",2005,"1GKDT13S1523",2,NA,NA,"yes",0,"no","other","utility vehicle"
"360268","2","82","881",2004,"4UZAANBW34CN",1,NA,NA,"no",0,"no","other","van or bus"
"360269","1","98","981",2009,"WKKA34DH7930",1,NA,NA,"yes",0,"no","other","van or bus"
"360270","1","12","481",2011,"1FTFW1E69BFA",2,55,NA,"yes",1,"yes","driver","pickup"
"360270","2","12","401",2008,"1FMEU73E98UB",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360271","1","42","401",2007,"4JGBB86E07A2",2,NA,NA,"no",0,"no","other","utility vehicle"
"360272","1","2","403",1999,"1J4GW68N6XC5",1,NA,NA,"no",0,"no","driver","utility vehicle"
"360273","1","18","25",2015,"1G4PP5SK1F41",2,NA,"disabling","yes",2,"yes","other","4-door sedan"
"360274","1","35","49",2014,"JN8AZ1MWXEW5",1,NA,NA,"no",0,"no","driver","other car"
"360275","1","7","41",2001,"2B3HD46R41H6",3,NA,"disabling","yes",1,"yes","other","4-door sedan"
"360276","1","35","39",2004,"1N4BA41E14C8",1,NA,"disabling","yes",1,"yes","other","4-door sedan"
"360277","1","53","705",2002,"JS1VP52A6221",2,NA,NA,"yes",1,"no","driver","motorcycle"
"360277","2","37","31",2004,"2HGES16524H5",3,NA,NA,"yes",0,"no","other","4-door sedan"
"360278","1","72","706",2005,"1HD1FRW115Y6",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360278","2","20","461",2003,"1GBHG31U8312",1,NA,NA,"no",0,"no","driver","van or bus"
"360279","1","12","402",2002,"1FMYU01162KB",4,NA,"disabling","yes",1,"no","driver","utility vehicle"
"360280","1","35","39",2002,"JN1DA31D02T4",3,NA,"disabling","yes",1,"yes","driver","4-door sedan"
"360281","1","20","401",2002,"999999999999",1,NA,"disabling","yes",1,"yes",NA,"utility vehicle"
"360282","1","49","32",1996,"2T1BA02E2TC1",1,NA,NA,"yes",0,"yes","driver","4-door sedan"
"360283","1","7","482",2012,"1C6RD7MT5CS1",2,NA,NA,"no",0,"no","driver","pickup"
"360284","1","2","404",2007,"1J8GR48K97C6",1,NA,NA,"no",0,"no","driver","utility vehicle"
"360285","1","12","16",2009,"2FAHP70V49X1",1,NA,NA,"no",0,"no","other","4-door sedan"
"360286","1","59","403",2015,"2T2BK1BA6FC2",1,NA,"disabling","yes",1,"yes","other","utility vehicle"
"360286","2","98","907",2009,"1VHHH3P22967",1,NA,NA,"yes",0,"no","other","van or bus"
"360287","1","53","705",2005,"JS1GN79A3521",1,NA,"disabling","yes",1,"yes",NA,"motorcycle"
"360287","2","2","422",2014,"1C4RJFAGXEC4",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360288","1","72","706",2008,"1HD1FC4198Y6",1,NA,"disabling","yes",1,"no","driver","motorcycle"
"360289","1","6","44",1995,"1C3EJ56H4SN5",2,NA,NA,"yes",1,"no","driver","4-door sedan"
"360289","2","23","401",2003,"1GKET16SX361",8,NA,NA,"yes",0,"no","other","utility vehicle"
